scheme,b,lambda,h,T,E1,E1_rate,E2,E2_rate,Einf,Einf_rate
FTBS,3.0,0.8,0.1,0.96,0.05430176596787222,nan,0.05468331242882996,nan,0.11823895347199642,nan
FTBS,3.0,0.8,0.05,0.96,0.03050493035872066,0.8319566801367548,0.037436800886330564,0.546643479965406,0.12560717521209908,-0.08721347399450008
FTBS,3.0,0.8,0.025,0.96,0.016198693823848195,0.9131649504991306,0.02248455936954392,0.7355225447851836,0.08649406252953762,0.538245873381424
FTBS,3.0,0.8,0.0125,0.96,0.008522873881935197,0.9264655974798416,0.0138974042915975,0.6941191651608004,0.07041958461815412,0.2966243836754137
FTBS,3.0,0.8,0.00625,0.96,0.00439529551443525,0.9553798168236515,0.008321675058943401,0.7398695857108465,0.04902485401937662,0.5224633827141762
CTCS,3.0,0.8,0.1,0.96,0.05904630783999976,nan,0.05829992017273007,nan,0.13825895038975555,nan
CTCS,3.0,0.8,0.05,0.96,0.028727001645132016,1.0394394301239183,0.030865667509067198,0.9174909162125778,0.0647037661349309,1.0954512853944534
CTCS,3.0,0.8,0.025,0.96,0.011229547826103855,1.3551075840184588,0.014319049096634916,1.10806730290909,0.0477069604803505,0.4396499160440474
CTCS,3.0,0.8,0.0125,0.96,0.004639384588763131,1.2752944860841575,0.007229108881856927,0.9860459638457124,0.02946265571505924,0.6953122934669769
CTCS,3.0,0.8,0.00625,0.96,0.0018685129535999064,1.312042880180184,0.0035184617263240565,1.038873000408139,0.017357128404521416,0.7633591929960251
LaxFriedrichs,3.0,0.8,0.1,0.96,0.11568326370227854,nan,0.10405905594310678,nan,0.20634533266426447,nan
LaxFriedrichs,3.0,0.8,0.05,0.96,0.06353082180704699,0.8646515734156442,0.0678344678520604,0.6173121011221917,0.20015210618599977,0.043964009140457345
LaxFriedrichs,3.0,0.8,0.025,0.96,0.03435918201158535,0.886760990663358,0.041177122539997606,0.7201754997937727,0.1339971726271043,0.5788942373915578
LaxFriedrichs,3.0,0.8,0.0125,0.96,0.018302196897682324,0.9086788583822301,0.025251624388984317,0.7054668211907159,0.1074225014598843,0.31890633793229756
LaxFriedrichs,3.0,0.8,0.00625,0.96,0.009558208281369721,0.937204721714966,0.015199433620336942,0.7323586314540115,0.07482194494335892,0.5217628485335198
LaxWendroff,3.0,0.8,0.1,0.96,0.023817253509607183,nan,0.03473996567160565,nan,0.07715617160652255,nan
LaxWendroff,3.0,0.8,0.05,0.96,0.011682011208945452,1.0277183840189512,0.020034262461782547,0.7941269288500672,0.050609945737198236,0.6083606329019773
LaxWendroff,3.0,0.8,0.025,0.96,0.00464230824038829,1.3313744509986343,0.010068148171832995,0.9926710458432613,0.03328376632546082,0.6046022322770436
LaxWendroff,3.0,0.8,0.0125,0.96,0.0019512701275005216,1.2504288042646001,0.005466671785367472,0.8810636887667718,0.026942612780517128,0.30492893120512504
LaxWendroff,3.0,0.8,0.00625,0.96,0.0007997157895064249,1.286854236078185,0.0027701284542286544,0.9807098825221912,0.01599810717685246,0.751988541935468
BeamWarming,3.0,0.8,0.1,0.96,0.025705225747065647,nan,0.038321348999490794,nan,0.10229231732553379,nan
BeamWarming,3.0,0.8,0.05,0.96,0.012737078189341692,1.0130273122950368,0.020839455801677828,0.8788307443532345,0.061086767028233346,0.7437660014124193
BeamWarming,3.0,0.8,0.025,0.96,0.004720512970029319,1.432018821399911,0.009901104613664006,1.0736562106848855,0.03571941159569769,0.7741515736725572
BeamWarming,3.0,0.8,0.0125,0.96,0.0019663465063524703,1.263426069863741,0.00513732762101164,0.9465714068869928,0.02271716114760236,0.652925755631588
BeamWarming,3.0,0.8,0.00625,0.96,0.0007919876286817396,1.311967773594062,0.00255648217477476,1.006858114326632,0.014604249835913241,0.6373943051905792
BTBS,3.0,0.8,0.1,0.96,0.30206548074065154,nan,0.23913087880308215,nan,0.4141184507798966,nan
BTBS,3.0,0.8,0.05,0.96,0.19160470607591776,0.6567283299498401,0.16679610731620736,0.519714816688789,0.3590621843773981,0.20580976288231603
BTBS,3.0,0.8,0.025,0.96,0.11287517233976736,0.7634048056502166,0.10797859230554994,0.6273403056839028,0.26704983206613364,0.42712474260864713
BTBS,3.0,0.8,0.0125,0.96,0.06348171509606944,0.8303151790951118,0.06778616584926266,0.6716825380456126,0.20776567291608306,0.3621516654112416
BTBS,3.0,0.8,0.00625,0.96,0.03448394985575386,0.880416073366855,0.041606359108074024,0.7041868242924155,0.15006726696045036,0.46934798448235826
BTCS,3.0,0.8,0.1,0.96,0.18886113036931584,nan,0.15371261106187697,nan,0.2960570575289213,nan
BTCS,3.0,0.8,0.05,0.96,0.1059548506132835,0.8338761744789512,0.10038773834993471,0.6146524679986872,0.251303065993306,0.2364469729674385
BTCS,3.0,0.8,0.025,0.96,0.05798620436980663,0.869668024496758,0.0621745479597713,0.6911870466105544,0.18060700820797837,0.4765743970428296
BTCS,3.0,0.8,0.0125,0.96,0.031186326622524137,0.8947960757514135,0.03827482960540753,0.6999281583143148,0.14185980463405368,0.34838800985170726
BTCS,3.0,0.8,0.00625,0.96,0.01645457220345203,0.9224251116065781,0.02317706826949231,0.7236978675884291,0.10093541120838001,0.4910334613662746
CrankNicolson,3.0,0.8,0.1,0.96,0.13193468264150957,nan,0.10639955156395337,nan,0.17952314154949822,nan
CrankNicolson,3.0,0.8,0.05,0.96,0.055762028166247965,1.2424689256026984,0.05362995602055669,0.9883810950211819,0.1114315981699896,0.6880114381930037
CrankNicolson,3.0,0.8,0.025,0.96,0.02332205896835812,1.2575878743206004,0.026451218930429846,1.0197048638382584,0.067605959403924,0.7209360599196661
CrankNicolson,3.0,0.8,0.0125,0.96,0.009775828425510702,1.2544042913695985,0.013335509675934736,0.9880612414731327,0.04400855792605318,0.6193663261444626
CrankNicolson,3.0,0.8,0.00625,0.96,0.004042891180871189,1.2738315924834136,0.006625236019515825,1.0092292093447601,0.02692156406115409,0.7090218696402641
