scheme,b,h,lambda,T,max_error,max_abs_solution,status
FTFS,3.0,0.1,0.8,1.5,1572216.4665259505,1572216.4665259505,unstable-looking
FTBS,3.0,0.1,0.8,1.5,0.24490233454251165,0.7550976654574821,stable-looking
FTCS,3.0,0.1,0.8,1.5,5.575483666295877,5.575483666295877,unstable-looking
CTCS,3.0,0.1,0.8,1.5,0.12113019174684692,0.8845018703300602,stable-looking
LaxFriedrichs,3.0,0.1,0.8,1.5,0.33549628444124535,0.6645037155587484,stable-looking
LaxWendroff,3.0,0.1,0.8,1.5,0.12773355796190045,0.8722664420380933,stable-looking
BeamWarming,3.0,0.1,0.8,1.5,0.1442707334219201,0.9011922073647916,stable-looking
BTFS,3.0,0.1,0.8,1.5,2.142224179997519e+40,2.142224179997519e+40,unstable-looking
BTBS,3.0,0.1,0.8,1.5,0.5591802854914303,0.44378866083689483,stable-looking
BTCS,3.0,0.1,0.8,1.5,0.4284494616740655,0.5745385838236364,stable-looking
CrankNicolson,3.0,0.1,0.8,1.5,0.20092230228350827,0.8297592215866985,stable-looking
FTFS,3.0,0.1,0.9,1.5,868308.7350473604,868308.7350473604,unstable-looking
FTBS,3.0,0.1,0.9,1.5,0.18322282644102206,0.8167771735589717,stable-looking
FTCS,3.0,0.1,0.9,1.5,7.4505238990301885,7.4505238990301885,unstable-looking
CTCS,3.0,0.1,0.9,1.5,0.10653212520890248,0.9208642100524163,stable-looking
LaxFriedrichs,3.0,0.1,0.9,1.5,0.24129674005103663,0.7587032599489572,stable-looking
LaxWendroff,3.0,0.1,0.9,1.5,0.10025547848602656,0.8997445215139672,stable-looking
BeamWarming,3.0,0.1,0.9,1.5,0.12525325930890863,0.931285613138415,stable-looking
BTFS,3.0,0.1,0.9,1.5,1.6501842394924758e+53,1.6501842394924758e+53,unstable-looking
BTBS,3.0,0.1,0.9,1.5,0.5678135504409715,0.43482374981723976,stable-looking
BTCS,3.0,0.1,0.9,1.5,0.4461793747887437,0.5553356776486614,stable-looking
CrankNicolson,3.0,0.1,0.9,1.5,0.1994484318354488,0.8264387655686534,stable-looking
FTFS,3.0,0.1,1.0,1.5,331767.29999998934,331767.29999998934,unstable-looking
FTBS,3.0,0.1,1.0,1.5,2.6645352591003757e-15,0.9999999999999964,stable-looking
FTCS,3.0,0.1,1.0,1.5,8.90394836425775,8.90394836425775,unstable-looking
CTCS,3.0,0.1,1.0,1.5,2.6645352591003757e-15,0.9999999999999964,stable-looking
LaxFriedrichs,3.0,0.1,1.0,1.5,2.6645352591003757e-15,0.9999999999999964,stable-looking
LaxWendroff,3.0,0.1,1.0,1.5,2.6645352591003757e-15,0.9999999999999964,stable-looking
BeamWarming,3.0,0.1,1.0,1.5,2.6645352591003757e-15,0.9999999999999964,stable-looking
BTFS,3.0,0.1,1.0,1.5,nan,nan,failed
BTBS,3.0,0.1,1.0,1.5,0.5756225793415015,0.4311311302351527,stable-looking
BTCS,3.0,0.1,1.0,1.5,0.46434800766805817,0.5448188253526969,stable-looking
CrankNicolson,3.0,0.1,1.0,1.5,0.22060402714321592,0.8231844353744449,stable-looking
FTFS,3.0,0.1,1.01,1.5,366588.21149766556,366588.21149766556,unstable-looking
FTBS,3.0,0.1,1.01,1.5,0.03267758214800065,1.0287099999999965,stable-looking
FTCS,3.0,0.1,1.01,1.5,9.21541246240718,9.21541246240718,unstable-looking
CTCS,3.0,0.1,1.01,1.5,0.08799601428397807,1.0301975840133566,stable-looking
LaxFriedrichs,3.0,0.1,1.01,1.5,0.02893619007044801,1.0272099999968074,stable-looking
LaxWendroff,3.0,0.1,1.01,1.5,0.06723748083373082,1.030225000025955,stable-looking
BeamWarming,3.0,0.1,1.01,1.5,0.027758340587488717,0.9978279375443244,stable-looking
BTFS,3.0,0.1,1.01,1.5,7.171516806286553e+94,7.171516806286553e+94,unstable-looking
BTBS,3.0,0.1,1.01,1.5,0.5763339740368021,0.4288233447696936,stable-looking
BTCS,3.0,0.1,1.01,1.5,0.46483481715644936,0.5411294315505215,stable-looking
CrankNicolson,3.0,0.1,1.01,1.5,0.21189982299984877,0.823870132496401,stable-looking
FTFS,3.0,0.1,1.05,1.5,176004.93221365468,176004.93221365468,unstable-looking
FTBS,3.0,0.1,1.05,1.5,0.32755000000001067,1.137550000000016,stable-looking
FTCS,3.0,0.1,1.05,1.5,9.982219610124666,9.982219610124666,unstable-looking
CTCS,3.0,0.1,1.05,1.5,1.002301239562926,1.1484052925880577,stable-looking
LaxFriedrichs,3.0,0.1,1.05,1.5,0.32054996806697655,1.130549968066982,stable-looking
LaxWendroff,3.0,0.1,1.05,1.5,0.39013680516512683,1.1449009496263214,stable-looking
BeamWarming,3.0,0.1,1.05,1.5,0.14379584745490925,0.9537958474549146,stable-looking
BTFS,3.0,0.1,1.05,1.5,3.463305276606089e+63,3.463305276606089e+63,unstable-looking
BTBS,3.0,0.1,1.05,1.5,0.5803774936703252,0.4299453761899932,stable-looking
BTCS,3.0,0.1,1.05,1.5,0.47546854878562717,0.5402323762264795,stable-looking
CrankNicolson,3.0,0.1,1.05,1.5,0.25545899933694993,0.8178300210699074,stable-looking
FTFS,3.0,0.1,1.1,1.5,276376.3760111619,276376.3760111619,unstable-looking
FTBS,3.0,0.1,1.1,1.5,0.6367993343339889,1.2842000000441776,stable-looking
FTCS,3.0,0.1,1.1,1.5,13.24911130231347,13.24911130231347,unstable-looking
CTCS,3.0,0.1,1.1,1.5,7.066704175228474,7.066704175228474,unstable-looking
LaxFriedrichs,3.0,0.1,1.1,1.5,0.46019777713305565,1.270197777133061,stable-looking
LaxWendroff,3.0,0.1,1.1,1.5,3.0503745795791275,3.4360822183534423,stable-looking
BeamWarming,3.0,0.1,1.1,1.5,0.1023152071037079,0.9430344600922768,stable-looking
BTFS,3.0,0.1,1.1,1.5,3.269481252578704e+51,3.269481252578704e+51,unstable-looking
BTBS,3.0,0.1,1.1,1.5,0.5834326775287657,0.41969877832626834,stable-looking
BTCS,3.0,0.1,1.1,1.5,0.4775844696559812,0.5240484746378468,stable-looking
CrankNicolson,3.0,0.1,1.1,1.5,0.2027383154055471,0.8200488695261039,stable-looking
FTFS,3.0,0.05,0.8,1.5,16449139373852.271,16449139373852.271,unstable-looking
FTBS,3.0,0.05,0.8,1.5,0.17792864308588574,0.822071356914108,stable-looking
FTCS,3.0,0.05,0.8,1.5,145.06016085127806,145.06016085127806,unstable-looking
CTCS,3.0,0.05,0.8,1.5,0.1252325971392767,0.9299560848911618,stable-looking
LaxFriedrichs,3.0,0.05,0.8,1.5,0.26128815347275713,0.7419225648741216,stable-looking
LaxWendroff,3.0,0.05,0.8,1.5,0.10021767904863721,0.9206804680643903,stable-looking
